text,label,language,split
Bhabbo ei niye,VAGUE,Bengali,train
Basically prOCessiNG fee Waive honI THi 💰,DISPUTE,Hindi,train
My payment on 25th was not credited,DISPUTE,English,train
Get loST thx,HIGH_RISK,English,train
Bhai mera plan hai Thursday ko clear karna,LIKELY_PAY,Hinglish,train
Aaj e payment hoye jabe,LIKELY_PAY,Bengali,train
Haan i need to verify this with my bank na?,DISPUTE,English,train
Actually amount verify karna hai mujhe,NEEDS_REMINDER,Hinglish,train
Ekhon theke amar lawyer er shathe kotha bolo,HIGH_RISK,Bengali,train
Dekha Dekha jak kichu hoy ki na,VAGUE,Bengali,train
"Statement chahiye detailed, tab tak kuch nahi dunga",DISPUTE,Hindi,train
i'll clear the dues by end of month bro,LIKELY_PAY,English,train
Acha promise nahi kar sakta,VAGUE,Hindi,train
Actually onno priorities ache???,VAGUE,Bengali,train
Outstanding amount se agree nahi hun main,DISPUTE,Hindi,train
Formal complaint korchi,DISPUTE,Bengali,train
can't promise kuch bhi 💰!!,VAGUE,Hinglish,train
Honestly kuch bhi nahi dena hai mujhe,HIGH_RISK,Hindi,train
Well tHE tHE AMOUNT DOESN'T MATCH WHAT I SIGNED FOR,DISPUTE,English,train
lEt Me sEe na?,VAGUE,English,train
"Ye fraud hai, police mein jaaunga",HIGH_RISK,Hindi,train
My lawyer will handle this,HIGH_RISK,English,train
Bhai dooR ho JAO,HIGH_RISK,Hindi,train
"My friend will lend me, I'll pay this weekend",LIKELY_PAY,English,train
"Amount ready hai, bas transfer karna hai",LIKELY_PAY,Hinglish,train
I'll get back to you,NEEDS_REMINDER,Hinglish,train
Kal payment kar dunga,LIKELY_PAY,Hindi,train
Will clear the pending amount before Sunday.!!,LIKELY_PAY,English,train
Bhai statement mil sakta hai?,NEEDS_REMINDER,Hindi,train
I'm working on it,VAGUE,English,train
"I accept the amount, will pay this weekend ok?",LIKELY_PAY,Hinglish,train
I have nothing to pay with,HIGH_RISK,English,train
Listen iS THERE THERE A GRACE PERIOD????,NEEDS_REMINDER,English,train
"Dude i changed changed my number, didn't get reminders",NEEDS_REMINDER,English,train
Full amount de dunga in 2 days,LIKELY_PAY,Hinglish,train
Honestly my payment is scheduled for Saturday!!,LIKELY_PAY,English,train
"I know people in government, be careful",HIGH_RISK,English,train
"Look i'll take care of it, don't keep calling 👍",NEEDS_REMINDER,English,train
Salary ashle tukni korbo,LIKELY_PAY,Bengali,train
I'LL CONSIDER CONSIDER IT sir,VAGUE,English,train
"I changed my number, didn't get reminders",NEEDS_REMINDER,English,train
will clear the pending amnt before thursday thanks!!,LIKELY_PAY,English,train
PEHLE PEHLE WIFE SE BAAT KARNA PADEGA!!,NEEDS_REMINDER,Hindi,train
"Bhai mera mera bonus aaya hai, paying today 🙏🙏",LIKELY_PAY,Hinglish,train
MY PAYMENT IS SCHEDULED FOR MONDAY,LIKELY_PAY,English,train
Consumer court jaaunga tumhare khilaf thanks,HIGH_RISK,Hindi,train
Well hoyto hoye jabe 😭,VAGUE,Bengali,train
"Look haan haan bhai, is weekend tak kar dunga",LIKELY_PAY,Hindi,train
Ye vasuli hai,HIGH_RISK,Hindi,train
Jibon mushkil cholche,VAGUE,Bengali,train
"Eta onyo karo loan, amar na",DISPUTE,Bengali,train
Aakhri baar bol raha hun tumhe thanks,HIGH_RISK,Hindi,train
Final answer: no payment,HIGH_RISK,Hinglish,train
Who knows yaar sir,VAGUE,Hinglish,train
"haan i know, will paY by eNd oF mOntH",LIKELY_PAY,Hinglish,train
Madam i don't agree with outstanding amount,DISPUTE,Hinglish,train
i'll coNsider it soChunga plz!!,VAGUE,Hinglish,train
Get lost yaar bro,HIGH_RISK,Hinglish,train
Dude issues issues ache 👍,VAGUE,Bengali,train
Grace period ache ki?,NEEDS_REMINDER,Bengali,train
Half now baaki this weekend,LIKELY_PAY,Hinglish,train
Not sure honestly,VAGUE,Hinglish,train
Ok so online payment kore dii ekhon,LIKELY_PAY,Bengali,train
Sochne do ok?,VAGUE,Hindi,train
Situation is complicated,VAGUE,English,train
"Listen ek din aur please, pakka dunga",LIKELY_PAY,Hindi,train
"Well yE kiSi aur Ka lOaN hAi, mera nahi plz",DISPUTE,Hindi,train
Hey really can't say bro,VAGUE,Hinglish,train
Sir whICh loan ARE we talkIng abOUt 👍,NEEDS_REMINDER,English,train
we'll fiGure fiGure iT oUt,VAGUE,English,train
Haan ki korbo bujhte parchi na,VAGUE,Bengali,train
"Busy chhilam, dekhbo",NEEDS_REMINDER,Bengali,train
Interest rate keno bodlano holo?,DISPUTE,Bengali,train
Actually maybe later sometime,VAGUE,Hinglish,train
I have issues,VAGUE,English,train
Bill dobara bhej do,NEEDS_REMINDER,Hindi,train
Boss i will do NEFT Shukravaar tak mein,LIKELY_PAY,Hinglish,train
Listen you're wasting your time,HIGH_RISK,English,train
You harass innocent log bro!!,HIGH_RISK,Hinglish,train
Let mE pAy half Now and rest thIs WeeKeND!!,LIKELY_PAY,English,train
Hey iSSUES ACHE,VAGUE,Bengali,train
Pata hi nahi chala late ho gaya,NEEDS_REMINDER,Hindi,train
"Arey keep calling, see what happens!!",HIGH_RISK,English,train
My co-applicant already paid this,DISPUTE,English,train
Boss how do I set up auto-pay?,NEEDS_REMINDER,English,train
Jo kar rahe ho illegal hai thx!!,HIGH_RISK,Hindi,train
Bhai fir FilE kARuNgA tuM pe,HIGH_RISK,Hinglish,train
Dekho iSSues Hain MERe,VAGUE,Hinglish,train
Bill dubara bhejo please,NEEDS_REMINDER,Hinglish,train
Interest rate kyun badla?,DISPUTE,Hindi,train
Arey bill dubara bhejo please,NEEDS_REMINDER,Hinglish,train
Reputation noshto kore debo tomar,HIGH_RISK,Bengali,train
"Sach mein bhool bhool gaya tha, sorry",NEEDS_REMINDER,Hindi,train
Poora Poora taka ekbare diye debo,LIKELY_PAY,Bengali,train
Abhi nahi bata sakta,VAGUE,Hindi,train
"Basically i NeED an escalatION, This amount Is DiSputed!!",DISPUTE,English,train
I'll pay the full amount by Friday!!,LIKELY_PAY,English,train
Sir kitne din overdue hai boss,NEEDS_REMINDER,Hindi,train
Arey time chahiye merko,VAGUE,Hinglish,train
Mera lawyer dekhega ye sab,HIGH_RISK,Hindi,train
Arey send details again please ...,NEEDS_REMINDER,Hinglish,train
"I ACCEPT THE DUE AMOUNT, WILL PAY IN 3 DAYS",LIKELY_PAY,English,train
Dekhte Dekhte hain kya hota hai !!,VAGUE,Hindi,train
"Call korte thako, dekhe neo ki hoy",HIGH_RISK,Bengali,train
Maine in in terms pe agree nahi kiya tha asap,DISPUTE,Hindi,train
See tum logon se baat khatam 🤷,HIGH_RISK,Hindi,train
Suno payment ho jayega by Monday,LIKELY_PAY,Hinglish,train
Media te jabo sir,HIGH_RISK,Bengali,train
Will do NEFT tomorrow,LIKELY_PAY,English,train
"Honestly already tAlkEd To banK, WilL cOme ThiS WeeKend",LIKELY_PAY,Hinglish,train
Boss maine ye loan nahi liya hai,DISPUTE,Hinglish,train
Yaar theek hai ok thx!!,VAGUE,Hinglish,train
"Do whatever you want, I'm not paying",HIGH_RISK,English,train
Boss aMAR KACHE KICHU NEI DEBAR 😭,HIGH_RISK,Bengali,train
Dude Dude mind your own business,HIGH_RISK,English,train
Dekho ke jane,VAGUE,Bengali,train
Pashtabe amake call kore,HIGH_RISK,Bengali,train
Ek-dui ghontar moddhe hoye jabe,LIKELY_PAY,Bengali,train
1st er transaction check koro,DISPUTE,Bengali,train
Toder shathe kotha shesh,HIGH_RISK,Bengali,train
20th er transaction check koro,DISPUTE,Bengali,train
"ek aur cHance Do, ek Hafte mein gUARAnteed asap",LIKELY_PAY,Hinglish,train
not sure 🙂,VAGUE,English,train
"Dude diye debo, chinta koro na",LIKELY_PAY,Bengali,train
Handle karunga jaldi,NEEDS_REMINDER,Hinglish,train
Mushkil hai situation,VAGUE,Hindi,train
"I am not avoiding payment, I will pay in 3 days",LIKELY_PAY,English,train
"AMI SERIOUS, MASH SHESHE PORJONTO PAKKA",LIKELY_PAY,Bengali,train
"Go ahead and sue me, I don't care",HIGH_RISK,English,train
"salary ashbe shombar, tarpor e diye debo 🙏🙏!!",LIKELY_PAY,Bengali,train
Haan uncertain,VAGUE,English,train
Look amI ei calL rEcoRd kOrchi yaar!!,HIGH_RISK,Bengali,train
Why is this still showing as unpaid?,DISPUTE,English,train
"Boss jo karna hai karo, mujhe darr nahi 😢",HIGH_RISK,Hindi,train
"Madam haan haan karunga, agle hafte tak pakka",LIKELY_PAY,Hinglish,train
"Haan tHANKS FOR LETTING ME KNOW, CHECKING NOW yaar",NEEDS_REMINDER,Hinglish,train
Kya bolun pata nahi,VAGUE,Hinglish,train
Haan kya bolun samajh nahi aa raha???,VAGUE,Hindi,train
Ye Ye amount galat hai 💰!!,DISPUTE,Hindi,train
Can you email me the details?,NEEDS_REMINDER,English,train
Aakhri baar bol raha hun tumhe,HIGH_RISK,Hindi,train
"Bhai salary nahi aayi abhi, 3 din mein mein pakka kar dunga",LIKELY_PAY,Hinglish,train
Hey hard to say honestly,VAGUE,Hinglish,train
Oh bhool gaya tha,NEEDS_REMINDER,Hindi,train
Ok so i'll consider it 👍,VAGUE,English,train
Auto-debit on chhilo chhilo na?,NEEDS_REMINDER,Bengali,train
I am raising a formal complaint,DISPUTE,English,train
"Consider it done, paying by end of month 🙏",LIKELY_PAY,Hinglish,train
Arey dekhte hain kya hota hai,VAGUE,Hindi,train
payment fix ache shonibar,LIKELY_PAY,Bengali,train
Why are there hidden charges?,DISPUTE,English,train
Mera auto-debit on tha na?,NEEDS_REMINDER,Hinglish,train
Ok so agle shoptahe mone koriyo,NEEDS_REMINDER,Bengali,train
Haan not right now bhai,VAGUE,Hinglish,train
Ye add up nahi ho raha,DISPUTE,Hindi,train
Basically sAMAJHNA PADEGA 🙏🙏!!,VAGUE,Hindi,train
This is illegal what you're doing,HIGH_RISK,English,train
Ok so i refuse to pay and that's final 😢,HIGH_RISK,English,train
Bhai samajhna padega!!,VAGUE,Hindi,train
The amount will be credited in 2 days!!,LIKELY_PAY,English,train
Dude fir korbo tomar name,HIGH_RISK,Bengali,train
"Dekho number change korechi, reminder asheni!!",NEEDS_REMINDER,Bengali,train
"Eta fraud, police e jabo",HIGH_RISK,Bengali,train
"maiN payment kaRunGA, teNsIoN Mat lo thx???",LIKELY_PAY,Hindi,train
Haan Haan bhebhe dekhbo,VAGUE,Bengali,train
"I ACCEPT THE AMOUNT, WILL PAY WITHIN A WEEK!!",LIKELY_PAY,Hinglish,train
"ok fine, take the payment tomorrow",LIKELY_PAY,English,train
Don't call me again or I'll file a complaint,HIGH_RISK,English,train
Processing fee waive howar kotha chhilo,DISPUTE,Bengali,train
Acha how to set up auto-pay?,NEEDS_REMINDER,Hinglish,train
"Basically i changed banks recently, need to update",NEEDS_REMINDER,English,train
I have other priorities asap,VAGUE,English,train
Honestly cHECK KORE JANABO 💰,NEEDS_REMINDER,Bengali,train
Ek aur call aaya to report karunga,HIGH_RISK,Hindi,train
YOU CAN'T DO DO ANYTHING TO ME 🙂,HIGH_RISK,English,train
"Sir i AM NOT AVOIDING PAYMENT, I WILL PAY WITHIN A WEEK thx",LIKELY_PAY,English,train
"haan theek hai, de deta hun yaar!!",LIKELY_PAY,Hindi,train
Arey why was the interest rate changed ok?,DISPUTE,English,train
"Haan thik ache, diye dii",LIKELY_PAY,Bengali,train
"Well check your records, I don't owe this much !!",DISPUTE,English,train
Arey ye tumhari tumhari galti hai billing mein!!,DISPUTE,Hindi,train
Haalat kharab hain,VAGUE,Hindi,train
Payment link bhejo please,NEEDS_REMINDER,Hinglish,train
How to set up auto-pay?,NEEDS_REMINDER,Hinglish,train
Well i'll consider it,VAGUE,English,train
Suno situation check karna padega,VAGUE,Hinglish,train
Written proof dao koto taka baki,DISPUTE,Bengali,train
Outstanding kothay check check korbo?!!,NEEDS_REMINDER,Bengali,train
Yeah probably bro,VAGUE,Hinglish,train
"I've already spoken to my bank, transfer will come this weekend",LIKELY_PAY,English,train
Yaar loan agreement copy share koro,DISPUTE,Bengali,train
Loan agreement e onno terms ache,DISPUTE,Bengali,train
Transfer kore debo agle shoptahe,LIKELY_PAY,Bengali,train
See neXT week yaad dilanA Please thanks,NEEDS_REMINDER,Hinglish,train
Ok so i didn't realize it was already late!!,NEEDS_REMINDER,English,train
dekhte hain!!,VAGUE,Hindi,train
Tum logon ko sharam nahi thanks,HIGH_RISK,Hinglish,train
Actually tODER SHATHE KOTHA SHESH,HIGH_RISK,Bengali,train
Basically mushkil obostha,VAGUE,Bengali,train
Give me 2 days to sort this,NEEDS_REMINDER,Hinglish,train
"Well this is someone else's loan, not mine 😡",DISPUTE,English,train
Dekho no comment 💰,VAGUE,Bengali,train
"Bhai salary ashbe Robibar, tarpor e diye debo",LIKELY_PAY,Bengali,train
Yaar will clear clear the pending amount before Tuesday!!,LIKELY_PAY,English,train
"PhonePe se paid already, recheck please",DISPUTE,Hinglish,train
Yaar salarY aatE Hi tURaNt kaRUngA 👍,LIKELY_PAY,Hindi,train
Ekhon commit commit korte parbo na,VAGUE,Bengali,train
Banking ombudsman ke paas jaaunga,HIGH_RISK,Hindi,train
Hey tora shob scammer,HIGH_RISK,Bengali,train
"I already paid this EMI, check karo",DISPUTE,Hinglish,train
"Hey let me pay in installments, first one this weekend",LIKELY_PAY,Hinglish,train
Mushkil hai situation ...,VAGUE,Hindi,train
Honestly Honestly the amount will be credited next week,LIKELY_PAY,English,train
I was promised a different interest rate,DISPUTE,English,train
DEKHE NII 🙏,VAGUE,Bengali,train
Sir pAYMENT FIX HAI SOMVAAR KO 😢,LIKELY_PAY,Hindi,train
issues hain 🙏🙏,VAGUE,Hindi,train
Pore janabo 🙂,VAGUE,Bengali,train
Maine ye loan nahi liya,DISPUTE,Hindi,train
Well ye kaun si EMI hai?,NEEDS_REMINDER,Hindi,train
Abhi commit nahi kar sakta,VAGUE,Hindi,train
Actually not right now!!,VAGUE,English,train
Bhai i have nothing to give,HIGH_RISK,Hinglish,train
Was there an SMS? I didn't see it,NEEDS_REMINDER,English,train
Dekho cOmPLicaTEd hAi,VAGUE,Hindi,train
WHICH LOAN ARE WE TALKING ABOUT 🙏🙏!!,NEEDS_REMINDER,English,train
Will do do NEFT by Friday,LIKELY_PAY,English,train
Actually loan agreement copy share koro,DISPUTE,Bengali,train
"De dunga, chinta mat karo thanks",LIKELY_PAY,Hindi,train
Sir check kore janabo,NEEDS_REMINDER,Bengali,train
Look written written proof do kitna banta hai,DISPUTE,Hindi,train
The loan agreement says different terms,DISPUTE,English,train
Honestly yeah maybe,VAGUE,English,train
"bonus aaya hai, abhi de deta hun asap!!",LIKELY_PAY,Hindi,train
Consumer court e jabo tomar biruddhe,HIGH_RISK,Bengali,train
Will do NEFT by end of month,LIKELY_PAY,English,train
Send Send me a complete breakdown of charges 😭,DISPUTE,English,train
Bhai ye amount galat hai,DISPUTE,Hinglish,train
Eta tomar billing er bhul,DISPUTE,Bengali,train
Agle shoptahe mone koriyo,NEEDS_REMINDER,Bengali,train
SMS aaya tha kya? Nahi dekha,NEEDS_REMINDER,Hindi,train
Actually i am am raising a formal complaint,DISPUTE,English,train
Boss i have nothing to give,HIGH_RISK,Hinglish,train
Honestly is there a grace period?,NEEDS_REMINDER,English,train
other priorities priorities hain abhi!!,VAGUE,Hinglish,train
Where do I pay? What's the link?,NEEDS_REMINDER,English,train
"Boss ne salary hold ki thi, ab aayi, de dunga",LIKELY_PAY,Hinglish,train
My payment is scheduled for Friday,LIKELY_PAY,English,train
Kaun sa loan hai bro,NEEDS_REMINDER,Hindi,train
Look 1st ko payment kiya but not credited !!,DISPUTE,Hinglish,train
Mera patience mat check karo,HIGH_RISK,Hindi,train
Honestly kaUn JaaNe bro,VAGUE,Hindi,train
Bhai cAN YOU SHARE UPI? I WILL PAY NOW 😭,LIKELY_PAY,English,train
Never contact me again,HIGH_RISK,Hinglish,train
Actually yOU yOU harass INnoCent log,HIGH_RISK,Hinglish,train
Ye tumhari galti hai billing mein,DISPUTE,Hindi,train
I HAVE HAVE ISSUES,VAGUE,English,train
Dekho maybe,VAGUE,English,train
Can you send the bill again plz,NEEDS_REMINDER,English,train
Might kar paunga thx,VAGUE,Hinglish,train
Ok so wrong person ko call kar rahe ho,HIGH_RISK,Hinglish,train
I need to verify the amount,NEEDS_REMINDER,English,train
Toder lojja lojja nei 🙏,HIGH_RISK,Bengali,train
Loan agreement copy copy share koro,DISPUTE,Bengali,train
I promise to pay by Wednesday for sure,LIKELY_PAY,English,train
Poora paisa ek saath de dunga,LIKELY_PAY,Hindi,train
Basically i'm thinking about it abhi,VAGUE,Hinglish,train
The penalty charges are too high,DISPUTE,English,train
"Dekho eta onyo karo loan, amar na",DISPUTE,Bengali,train
"AMI SERIOUS, MASH MASH SHESHE PORJONTO PAKKA thanks",LIKELY_PAY,Bengali,train
Boss tumhari company fraud hai,HIGH_RISK,Hindi,train
fir KORbo TomAr naMe ...,HIGH_RISK,Bengali,train
"Bujhechi, kichu ekta korbo",NEEDS_REMINDER,Bengali,train
Tum logon ko sharam nahi,HIGH_RISK,Hinglish,train
"Dui bhage dite pari, prothom ta tin din e",LIKELY_PAY,Bengali,train
Madam aur options sochne do,VAGUE,Hindi,train
Auto-debit on tha na?,NEEDS_REMINDER,Hindi,train
abhi nahi thx,VAGUE,Hindi,train
Cheshta korbo taratari 😢!!,LIKELY_PAY,Bengali,train
Let me figuRe thiS out boss,NEEDS_REMINDER,Hinglish,train
Basically bolte parbo na shotti,VAGUE,Bengali,train
Bhabte dao!!,VAGUE,Bengali,train
Honestly eMI ka paisa alag rakha hai,LIKELY_PAY,Hindi,train
"EMI amount ready hai, bhej raha hun",LIKELY_PAY,Hindi,train
Details ta abar pathao,NEEDS_REMINDER,Bengali,train
Boss my lawyer will handle this 🤷,HIGH_RISK,English,train
Sochunga ...,VAGUE,Hindi,train
Will get back to you later,VAGUE,Hinglish,train
Promise korte korte parbo na,VAGUE,Bengali,train
late fee kitni kitni lagegi?,NEEDS_REMINDER,Hindi,train
Theek hai!!,VAGUE,Hindi,train
full AmOunT de DuNgA thIs Weekend 🙏🙏,LIKELY_PAY,Hinglish,train
Madam send details again please,NEEDS_REMINDER,Hinglish,train
Amount ota na jeta sign kora hoyechhilo,DISPUTE,Bengali,train
Haan weekend e dekhchi???,NEEDS_REMINDER,Bengali,train
Acha jiBOn mUsHKIl cholCHe 😢???,VAGUE,Bengali,train
Jo kar rahe ho illegal hai,HIGH_RISK,Hindi,train
I DON'T KNOW sir,VAGUE,English,train
Acha ami ei loan niini,DISPUTE,Bengali,train
"Ok fine, take the payment in 2 days",LIKELY_PAY,English,train
Arey how much is it exactly?,NEEDS_REMINDER,English,train
Don't test me,HIGH_RISK,Hinglish,train
"I promise bhai, 3 din mein tak",LIKELY_PAY,Hinglish,train
"Ami cheshta korchi, tin din e e",LIKELY_PAY,Bengali,train
Dude this is your billing mistake,DISPUTE,Hinglish,train
"Let me do partial now, rest later",LIKELY_PAY,Hinglish,train
"money is ready, will transfer tomorrow thx",LIKELY_PAY,English,train
i have nothing to give sir,HIGH_RISK,Hinglish,train
Hey what's the penalty if I pay late plz,NEEDS_REMINDER,English,train
"already talked to bank, will come within a week",LIKELY_PAY,Hinglish,train
Remind me later please,NEEDS_REMINDER,Hinglish,train
I'm blocking this number,HIGH_RISK,English,train
Wrong person ko call kar rahe ho,HIGH_RISK,Hinglish,train
"Receipt ache amar kache, pathabo?",DISPUTE,Bengali,train
