text,label,language,detected_language
"Look haan haan bhai, is weekend tak kar dunga",LIKELY_PAY,Hindi,id
paYment fix hAi sHaniVaar ko sir,LIKELY_PAY,Hindi,sq
Mera plan hai Shanivaar ko dene ka 🤷,LIKELY_PAY,Hindi,id
Dekho mera plan hai Budhvaar ko dene ka plz,LIKELY_PAY,Hindi,nl
"Honestly haan bhai, Shukravaar tak tak kar dunga",LIKELY_PAY,Hindi,id
"Actually de dunga, chinta mat karo",LIKELY_PAY,Hindi,id
Well parso tak pakka de dunga,LIKELY_PAY,Hindi,id
"Bhai de dunga, chinta mat karo",LIKELY_PAY,Hindi,id
"bonus aaya hai, abhi de deta hun asap!!",LIKELY_PAY,Hindi,id
Yaar salarY aatE Hi tURaNt kaRUngA 👍,LIKELY_PAY,Hindi,so
"Account Account number do, abhi transfer karta hun",LIKELY_PAY,Hindi,en
"Thoda aur time do, agle hafte tak de dunga ...",LIKELY_PAY,Hindi,id
"Abhi Abhi paisa nahi hai, Shukravaar tak tak pakka???",LIKELY_PAY,Hindi,id
Well bas thodA sa waIT kArO 😡,LIKELY_PAY,Hindi,en
Actually emi KA paisA alag rAKhA haI,LIKELY_PAY,Hindi,hu
Suno ek-do ghante mein ho jayega thx!!,LIKELY_PAY,Hindi,pt
AAJ HI PAYMENT HO JAYEGA yaar,LIKELY_PAY,Hindi,so
"Haan mujhe pata hai, agle hafte kar dunga sir",LIKELY_PAY,Hindi,id
Arey bilkul karunga payment,LIKELY_PAY,Hindi,id
"Haan bhai, Shukravaar Shukravaar tak tak kar dunga",LIKELY_PAY,Hindi,id
Pura amnt de dunga kal,LIKELY_PAY,Hindi,id
Bhai time pe pe de dunga 👍,LIKELY_PAY,Hindi,ro
"Bonus Bonus aaya hai, abhi de deta hun",LIKELY_PAY,Hindi,id
"Main zimmedar zimmedar hun, payment karunga",LIKELY_PAY,Hindi,id
"See salary aa jayegi Budhvaar ko, uske baad turant",LIKELY_PAY,Hindi,so
Dude pURA AMOUNT DE DUNGA 2 DIN MEIN,LIKELY_PAY,Hindi,nl
Honestly pura amount de dunga 3 din mein,LIKELY_PAY,Hindi,id
"Main kar raha hun arrange, is weekend tak ho jayega 💰",LIKELY_PAY,Hindi,id
"See hALF ABHI DE DETA HUN, BAAKI 2 DIN MEIN",LIKELY_PAY,Hindi,de
"Abhi paisa nahi nahi hai, ek hafte mein tak pakka",LIKELY_PAY,Hindi,id
"Well main main bhool gaya tha, abhi karta hun!!",LIKELY_PAY,Hindi,so
"Do hisson mein de sakta hun, pehla kal",LIKELY_PAY,Hindi,fi
"Actually main bhool gaya tha, abhi karta hun",LIKELY_PAY,Hindi,so
"dO HissOn mEin De sakTa hun, PEhlA Month enD Tak",LIKELY_PAY,Hindi,de
Dekho Dekho poora paisa ek saath de dunga asap,LIKELY_PAY,Hindi,id
Mera plan hai Guruvaar ko dene ka,LIKELY_PAY,Hindi,id
"Half abhi de deta hun, baaki kal",LIKELY_PAY,Hindi,id
Arey mujhe 5 din aur chahiye bas boss,LIKELY_PAY,Hindi,en
Actually ek-do ghante mein ho jayega,LIKELY_PAY,Hindi,en
NEFT kar dunga month end tak 🙏,LIKELY_PAY,Hindi,id
"half abhi de deta hun, baaki is weekend",LIKELY_PAY,Hindi,nl
MUJHE 5 5 DIN AUR CHAHIYE BAS thx,LIKELY_PAY,Hindi,en
"haan theek hai, de deta hun yaar!!",LIKELY_PAY,Hindi,id
Listen bHAI TIME TIME PE DE DUNGA,LIKELY_PAY,Hindi,de
Honestly eMI ka paisa alag rakha hai,LIKELY_PAY,Hindi,tl
"Paisa arrange ho raha hai, agle hafte mein de dunga",LIKELY_PAY,Hindi,pt
"Main serious hun, agle hafte tak pakka!!",LIKELY_PAY,Hindi,id
MUJHE 4 DIN AUR CHAHIYE BAS yaar,LIKELY_PAY,Hindi,so
AAJ HI PAYMENT HO JAYEGA bro!!,LIKELY_PAY,Hindi,pt
Suno paymnt fix hai mangalvaar ko,LIKELY_PAY,Hindi,tl
"Acha mAIN ZIMMEDAR HUN, PAYMENT KARUNGA 🙂!!",LIKELY_PAY,Hindi,sw
"Half abhi de deta hun, baaki month end tak",LIKELY_PAY,Hindi,id
Pura amount de dunga is weekend,LIKELY_PAY,Hindi,nl
Dude mujhe mujhe 15 din aur chahiye bas,LIKELY_PAY,Hindi,sw
"Half abhi de deta hun, baaki 2 din mein plz",LIKELY_PAY,Hindi,id
salry aate hi turant karunga ok?,LIKELY_PAY,Hindi,id
"abhi paisa nahi hai, is weekend tak pakka 🙏🙏",LIKELY_PAY,Hindi,id
Dekho nEft kar kar DungA aglE HAFTe,LIKELY_PAY,Hindi,sv
Actually amnt bhej raha hun thodi der mein,LIKELY_PAY,Hindi,cy
Pura amount amount de dunga month end tak,LIKELY_PAY,Hindi,en
"Listen ek din aur please, pakka dunga",LIKELY_PAY,Hindi,id
Sir pAYMENT FIX HAI SOMVAAR KO 😢,LIKELY_PAY,Hindi,en
Suno bilkul karunga payment,LIKELY_PAY,Hindi,tl
Madam maine apne side se arrangement kar liya hai 🙏,LIKELY_PAY,Hindi,id
"half abhi de deta hun, baaki ek hafte mein",LIKELY_PAY,Hindi,da
NEFT kar dunga ek hafte mein,LIKELY_PAY,Hindi,id
Sir aAJ Shaam TAk transfer kAR DUNga 🙂???,LIKELY_PAY,Hindi,id
"ABHI PAISA NAHI HAI, MONTH END TAK TAK PAKKA 🙂",LIKELY_PAY,Hindi,en
Ok so koshish karunga jaldi se jaldi,LIKELY_PAY,Hindi,et
"Ek din aur plz, pakka dunga",LIKELY_PAY,Hindi,id
MeRA plaN hAi mangaLVaar ko dene Ka,LIKELY_PAY,Hindi,id
"Paisa arrange ho raha hai, 2 din mein mein de dunga",LIKELY_PAY,Hindi,id
Dekho payment fix hai Guruvaar ko,LIKELY_PAY,Hindi,nl
Mujhe 5 din aur chahiye bas ok?,LIKELY_PAY,Hindi,en
Kal payment kar dunga plz,LIKELY_PAY,Hindi,id
Bhai bas thoda sa wait karo 😢!!,LIKELY_PAY,Hindi,so
"Thoda aur time do, ek hafte mein tak de dunga",LIKELY_PAY,Hindi,id
"do hisson mein mein de sakta hun, pehla shukravaar tak!!",LIKELY_PAY,Hindi,id
"Honestly main bhool gaya tha, abhi karta hun",LIKELY_PAY,Hindi,so
"Main kabhi kabhi mana nahi kiya, payment karunga plz",LIKELY_PAY,Hindi,tl
"Main koshish kar raha hun, Shukravaar tak tak",LIKELY_PAY,Hindi,id
"Salary aa jayegi Guruvaar ko, uske baad turant na?",LIKELY_PAY,Hindi,so
Salary Salary aate hi turant karunga 🤷,LIKELY_PAY,Hindi,tl
"tHodA aur TIme DO, monTh end tak taK DE DuNga",LIKELY_PAY,Hindi,en
"Look half abhi de deta hun, baaki kal 🙏",LIKELY_PAY,Hindi,id
"Main payment payment karunga, tension mat lo",LIKELY_PAY,Hindi,id
"maiN Serious huN, SHUkraVAaR tAk taK PaKka",LIKELY_PAY,Hindi,id
Madam pURA AMOUNT AMOUNT DE DUNGA 3 DIN MEIN.,LIKELY_PAY,Hindi,so
Madam aaj hi payment ho jayega,LIKELY_PAY,Hindi,so
Honestly kAl pAymEnt KAr DunGA,LIKELY_PAY,Hindi,en
"THODA AUR TIME DO, 2 DIN MEIN TAK DE DUNGA",LIKELY_PAY,Hindi,en
"Main kar raha hun arrange, 3 din mein tak ho jayega 😢",LIKELY_PAY,Hindi,id
"Honestly do hisson mein de sakta hun, pehla is weekend",LIKELY_PAY,Hindi,nl
Pura amount de dunga kal!!,LIKELY_PAY,Hindi,id
"Bhai promise karta hun, is weekend tak",LIKELY_PAY,Hindi,af
Honestly sal aate hi turant karunga boss,LIKELY_PAY,Hindi,id
"Dude salary aa jayegi Shukravaar ko, uske baad turant",LIKELY_PAY,Hindi,so
"Paisa arrange ho raha hai, kal mein de dunga",LIKELY_PAY,Hindi,id
"Paisa arrange ho raha hai, is weekend mein de dunga",LIKELY_PAY,Hindi,id
Payment fix hai Shukravaar ko 🙂,LIKELY_PAY,Hindi,fi
"maiN payment kaRunGA, teNsIoN Mat lo thx???",LIKELY_PAY,Hindi,tl
"Acha thoda aur time do, ek hafte mein tak de dunga asap",LIKELY_PAY,Hindi,id
Payment fix hai Ravivaar ko!!,LIKELY_PAY,Hindi,fi
"Listen mAIN ZIMMEDAR HUN, PAYMENT KARUNGA",LIKELY_PAY,Hindi,de
"Half abhi de de deta hun, baaki kal na?",LIKELY_PAY,Hindi,id
"Madam aBHi paisA NahI HAi, Ek hafte Mein taK pakkA",LIKELY_PAY,Hindi,id
"Haan main koshish kar raha hun, agle hafte tak",LIKELY_PAY,Hindi,id
Boss abhi prOcess MeIN hai pAYmeNT!!,LIKELY_PAY,Hindi,en
payment fix hai mangalvaar ko,LIKELY_PAY,Hindi,id
NEFT kar dunga is weekend,LIKELY_PAY,Hindi,af
"De dunga, chinta mat karo boss",LIKELY_PAY,Hindi,id
"Main kar raha hun arrange, agle hafte tak ho jayega plz",LIKELY_PAY,Hindi,id
"De dunga, chinta mat karo thanks",LIKELY_PAY,Hindi,id
Mera plan hai Budhvaar ko dene ka,LIKELY_PAY,Hindi,id
Honestly aaj raat tak ho jayega,LIKELY_PAY,Hindi,et
"Basically salry aa jayegi Ravivaar ko, uske baad turant 😭???",LIKELY_PAY,Hindi,et
neft kar dunGa ShukRavAar tak,LIKELY_PAY,Hindi,id
"haan mujhe pata hai, 3 din mein kar dunga",LIKELY_PAY,Hindi,id
Actually mera plan hai Shukravaar ko dene ka,LIKELY_PAY,Hindi,id
"HAAN BHAI, EK HAFTE MEIN TAK KAR DUNGA",LIKELY_PAY,Hindi,de
"Abhi paisa nahi hai, agle hafte tak pakka",LIKELY_PAY,Hindi,tl
Kaal payment kore debo,LIKELY_PAY,Bengali,af
"Haan bhai, mash sheshe er moddhe kore debo",LIKELY_PAY,Bengali,sq
"Ami payment korbo, tension nio na",LIKELY_PAY,Bengali,tl
"Ekhon taka nei, dui din e porjonto wait koro",LIKELY_PAY,Bengali,fi
"Haan jani, ei weekend e korbo",LIKELY_PAY,Bengali,af
Transfer kore debo kaal,LIKELY_PAY,Bengali,af
Pura taka diye debo agle shoptahe,LIKELY_PAY,Bengali,id
"Dui bhage dite pari, prothom ta tin din e",LIKELY_PAY,Bengali,ro
Amake aro 5 din dao,LIKELY_PAY,Bengali,id
Aaj bikale transfer kore debo,LIKELY_PAY,Bengali,da
"UPI pathao, ekhon e kori",LIKELY_PAY,Bengali,sq
Aaj e payment hoye jabe,LIKELY_PAY,Bengali,sq
"Ami arrange korchi, ek shoptahe hoye jabe",LIKELY_PAY,Bengali,sq
"Adha ekhon, baki ta tin din e",LIKELY_PAY,Bengali,id
"Ami serious, dui din e porjonto pakka",LIKELY_PAY,Bengali,fi
Nishchoi payment korbo,LIKELY_PAY,Bengali,sq
"Ektu somoy dao, agle shoptahe diye debo",LIKELY_PAY,Bengali,so
"Taka ready, transfer korchi",LIKELY_PAY,Bengali,sv
"Promise korchi, Shukrobar er moddhe e",LIKELY_PAY,Bengali,sq
Amar side theke arrangement hoye geche,LIKELY_PAY,Bengali,nl
Taka pathacchi ektu pore,LIKELY_PAY,Bengali,sw
Salary ashle tukni korbo,LIKELY_PAY,Bengali,id
Ek-dui ghontar moddhe hoye jabe,LIKELY_PAY,Bengali,sq
Porshudino porjonto pakka diye debo,LIKELY_PAY,Bengali,sl
"Bhule gechilam, ekhon korchi",LIKELY_PAY,Bengali,de
"Account number dao, ekhon transfer kori",LIKELY_PAY,Bengali,sv
Poora taka ekbare diye debo,LIKELY_PAY,Bengali,tr
"Ami kokhono mana korini, payment korbo",LIKELY_PAY,Bengali,hr
Bas ektu wait koro,LIKELY_PAY,Bengali,af
Aaj raater moddhe hoye jabe,LIKELY_PAY,Bengali,so
"Ami cheshta korchi, tin din e e",LIKELY_PAY,Bengali,sq
Online payment kore dii ekhon,LIKELY_PAY,Bengali,no
"Bonus peyechi, ekhon e dei",LIKELY_PAY,Bengali,nl
"Diye debo, chinta koro na",LIKELY_PAY,Bengali,sw
"Ekdin aro please, pakka debo",LIKELY_PAY,Bengali,sl
Bhai time e diye debo,LIKELY_PAY,Bengali,tr
"Ami responsible, payment korbo",LIKELY_PAY,Bengali,fr
EMI taka alag rekhechi,LIKELY_PAY,Bengali,hu
"Diye debo, dhairyo dhoro",LIKELY_PAY,Bengali,so
Cheshta korbo taratari,LIKELY_PAY,Bengali,sq
"Haan thik ache, diye dii",LIKELY_PAY,Bengali,so
"Payment hoye jabe, guarantee dichhi",LIKELY_PAY,Bengali,nl
Amar Amar plan ache Shukrobar dite,LIKELY_PAY,Bengali,nl
"Madam bhule gechilam, ekhon korchi 🤷",LIKELY_PAY,Bengali,nl
"Ektu somoy dao, Shukrobar er moddhe diye debo",LIKELY_PAY,Bengali,so
"Ekhon taka nei, ei weekend porjonto wait koro!!",LIKELY_PAY,Bengali,af
"UPI pathao, ekhon e kori boss",LIKELY_PAY,Bengali,sq
"promise korchi, ek shoptahe e.",LIKELY_PAY,Bengali,sq
"Bhai ami kokhono mana korini, payment korbo!!",LIKELY_PAY,Bengali,hr
Pura taka diye debo ek shoptahe 😭,LIKELY_PAY,Bengali,id
"Payment hoye hoye jabe, guarantee dichhi 🙏",LIKELY_PAY,Bengali,nl
Salary Salary ashle tukni korbo boss,LIKELY_PAY,Bengali,tl
Suno salary ashle tukni korbo,LIKELY_PAY,Bengali,tl
"Well bhule gechilam, ekhon korchi!!",LIKELY_PAY,Bengali,de
Cheshta korbo taratari 😢!!,LIKELY_PAY,Bengali,sq
"Boss amI pAyment koRBo, teNsIon nio na yaar",LIKELY_PAY,Bengali,tl
Transfer kore debo agle shoptahe,LIKELY_PAY,Bengali,da
"Promise korchi, dui din e e 😡",LIKELY_PAY,Bengali,sq
Hey porSHUDinO porSHUDinO porjonTO PakKA diye DEbO!!,LIKELY_PAY,Bengali,pt
"Diye debo, chinta koro na boss",LIKELY_PAY,Bengali,so
"Madam adha ekhON, BaKi tA AgLE ShoPtahe",LIKELY_PAY,Bengali,so
Madam taka pathacchi ektu pore,LIKELY_PAY,Bengali,id
"Sir diye debo, debo, dhairyo dhoro",LIKELY_PAY,Bengali,so
Ok so online payment kore dii ekhon,LIKELY_PAY,Bengali,no
"Bhai haan bhai, ek shoptahe er moddhe kore debo",LIKELY_PAY,Bengali,sq
Well taka pathacchi ektu pore,LIKELY_PAY,Bengali,id
"ADHA EKHON, BAKI TA AGLE SHOPTAHE",LIKELY_PAY,Bengali,hu
"Taka arrange hocche, dui din e diye debo.!!",LIKELY_PAY,Bengali,it
"ektu somoy dao, kaal diye debo",LIKELY_PAY,Bengali,so
"Taka arrange hocche, Shukrobar er moddhe diye debo",LIKELY_PAY,Bengali,da
"Adha ekhon, baki ta Shukrobar er moddhe",LIKELY_PAY,Bengali,so
"Dude aMi aMi arRange koRchi, masH SheSHe hOYe jaBe!!",LIKELY_PAY,Bengali,nl
"Dekho account number dao, ekhon transfer kori boss",LIKELY_PAY,Bengali,sv
Porshudino porjonto pakka diye debo bro???,LIKELY_PAY,Bengali,sl
bhai time e diye debo na?,LIKELY_PAY,Bengali,tr
Bhai bas ekTU waIt korO,LIKELY_PAY,Bengali,id
"ami koKhoNo manA korini, paymenT korbO thanks!!",LIKELY_PAY,Bengali,hr
"ami serious, kaal porjonto pakka!!",LIKELY_PAY,Bengali,fi
"Honestly ekhon taka taka nei, agle shoptahe porjonto wait koro boss",LIKELY_PAY,Bengali,fi
"EKTU SOMOY DAO, MASH SHESHE DIYE DEBO",LIKELY_PAY,Bengali,de
"Ami payment korbo, tension nio na thanks",LIKELY_PAY,Bengali,fi
"EKHON TAKA NEI, SHUKROBAR ER MODDHE PORJONTO WAIT KORO",LIKELY_PAY,Bengali,de
Aaj bikale transfr kore debo plz,LIKELY_PAY,Bengali,sl
"Honestly ekdin aro pls, pakka debo",LIKELY_PAY,Bengali,nl
"Basically ektu somoy dao, kaal diye debo",LIKELY_PAY,Bengali,so
"Ami arrange korchi, Shukrobar er moddhe hoye jabe",LIKELY_PAY,Bengali,sq
Poora taka taka ekbare diye debo 💰!!,LIKELY_PAY,Bengali,so
"Dekho promise korchi, dui din e e",LIKELY_PAY,Bengali,nl
"ektu somoy dao, dui din e diye debo!!",LIKELY_PAY,Bengali,af
Suno eMI TAKA ALAG REKHECHI,LIKELY_PAY,Bengali,es
"Bhai salary ashbe Robibar, tarpor e diye debo",LIKELY_PAY,Bengali,so
Boss kaal payment kore debo,LIKELY_PAY,Bengali,nl
"Ekhon taka nei, kaal porjonto wait koro boss",LIKELY_PAY,Bengali,fi
"Ami serious, ei weekend porjonto pakka",LIKELY_PAY,Bengali,af
Listen bhai time e diye debo,LIKELY_PAY,Bengali,af
"Boss dUI dUI BHAGE DITE PARI, PROTHOM TA MASH SHESHE",LIKELY_PAY,Bengali,de
"Dude diye debo, chinta koro na",LIKELY_PAY,Bengali,pt
"ami serious, agle shoptahe porjonto pakka bro",LIKELY_PAY,Bengali,sq
Arey bhai time e diye debo 😢,LIKELY_PAY,Bengali,tr
Listen online payment kore dii ekhon asap,LIKELY_PAY,Bengali,fi
Salary ashle tukni korbo asap,LIKELY_PAY,Bengali,tl
"Haan jani, tin din e e korbo",LIKELY_PAY,Bengali,sq
Amake aro 7 din dao 🙏🙏!!,LIKELY_PAY,Bengali,hr
"Promise korchi, tin din e e!!",LIKELY_PAY,Bengali,sq
Cheshta korbo korbo taratari thx!!,LIKELY_PAY,Bengali,sq
Look aaj e payment hoye jabe!!,LIKELY_PAY,Bengali,nl
"TAKA ARRANGE HOCCHE, AGLE SHOPTAHE DIYE DEBO",LIKELY_PAY,Bengali,so
Aaj e paymt hoye jabe yaar!!,LIKELY_PAY,Bengali,sq
"Payment hoye jabe, jabe, guarantee dichhi!!",LIKELY_PAY,Bengali,nl
"ekdin ekdin aro please, pakka debo",LIKELY_PAY,Bengali,af
Well aaj raater moddhe hoye jabe,LIKELY_PAY,Bengali,so
Aaj raater moddhe moddhe hoye jabe,LIKELY_PAY,Bengali,sq
"Promise korchi, mash sheshe e 💰???",LIKELY_PAY,Bengali,sq
"Haan bhai, ei weekend er moddhe kore debo",LIKELY_PAY,Bengali,af
"haan jani, shukrobar er moddhe e korbo",LIKELY_PAY,Bengali,sq
"Ami Ami arrange korchi, kaal hoye jabe 🙂",LIKELY_PAY,Bengali,et
"Yaar payment hoye jabe, guarantee dichhi 😭",LIKELY_PAY,Bengali,nl
Dekho salary ashle tukni korbo yaar,LIKELY_PAY,Bengali,so
Amake aro 3 din dao sir,LIKELY_PAY,Bengali,id
"Diye debo, dhairyo dhoro plz???",LIKELY_PAY,Bengali,so
"Haan thik ache, diye dii thanks",LIKELY_PAY,Bengali,so
Haan ekhon process e ache payment na?,LIKELY_PAY,Bengali,nl
Amake aro 7 din dao 😢,LIKELY_PAY,Bengali,hr
"Ami arrange korchi, korchi, mash sheshe hoye jabe",LIKELY_PAY,Bengali,sq
Dude taka pathacchi ektu pore,LIKELY_PAY,Bengali,id
"Haan jani, ek shoptahe e korbo ok?",LIKELY_PAY,Bengali,sq
"Promise korchi, kaal e!!",LIKELY_PAY,Bengali,et
"Promise korchi, tin din e e yaar",LIKELY_PAY,Bengali,nl
"salary ashbe shombar, tarpor e diye debo 🙏🙏!!",LIKELY_PAY,Bengali,so
"Haan taka arrange hocche, ek shoptahe diye debo",LIKELY_PAY,Bengali,nl
"Ami cheshta korchi, ek shoptahe e!!",LIKELY_PAY,Bengali,sq
"Haan Haan bhai, agle shoptahe er moddhe kore debo!!",LIKELY_PAY,Bengali,so
"Promise korchi, agle shoptahe e",LIKELY_PAY,Bengali,sq
"AMI SERIOUS, MASH SHESHE PORJONTO PAKKA",LIKELY_PAY,Bengali,de
"Haan jani, agle agle shoptahe e korbo",LIKELY_PAY,Bengali,et
KAAL PAYMENT KORE DEBO plz!!,LIKELY_PAY,Bengali,pl
"Suno ami cheshta korchi, kaal e",LIKELY_PAY,Bengali,sw
"Honestly haan jani, mash sheshe e korbo",LIKELY_PAY,Bengali,sq
Poora taka ekbare ekbare diye debo,LIKELY_PAY,Bengali,tr
Arey aaj raater moddhe hoye jabe,LIKELY_PAY,Bengali,so
Bhai amake amake aro 2 din dao,LIKELY_PAY,Bengali,id
"Haan ekdin aro plss, pakka debo ...",LIKELY_PAY,Bengali,nl
Look salaRY asHLe TUknI korBo,LIKELY_PAY,Bengali,et
"Dui bhage dite pari, prothom ta kaal yaar!!",LIKELY_PAY,Bengali,id
Bhai time e diye debo plz,LIKELY_PAY,Bengali,pt
Boss bas ektu wait koro!!,LIKELY_PAY,Bengali,lv
"Ekdin aro please, please, pakka debo",LIKELY_PAY,Bengali,sl
EMI taka alag rekhechi boss,LIKELY_PAY,Bengali,hu
"Haan ami serious, ei weekend porjonto pakka 💰???",LIKELY_PAY,Bengali,fi
"Well dui bhage dite pari, prothom ta ei weekend",LIKELY_PAY,Bengali,af
Online payment payment kore dii ekhon,LIKELY_PAY,Bengali,no
"Dekho payment hoye jabe, guarantee dichhi???",LIKELY_PAY,Bengali,nl
"Acha haan jani, ek shoptahe e korbo",LIKELY_PAY,Bengali,sq
"Madam Madam taka arrange hocche, ek shoptahe diye debo",LIKELY_PAY,Bengali,id
Honestly aaj e payment hoye jabe,LIKELY_PAY,Bengali,nl
Dekho aaj raater raater moddhe hoye jabe,LIKELY_PAY,Bengali,nl
"AMI ARRANGE KORCHI, TIN DIN E HOYE JABE",LIKELY_PAY,Bengali,de
"Ok Ok so bonus peyechi, ekhon e dei",LIKELY_PAY,Bengali,nl
"Hey ami serious, ei weekend porjonto pakka 🙏🙏",LIKELY_PAY,Bengali,af
Poora Poora taka ekbare diye debo,LIKELY_PAY,Bengali,af
PORSHUDINO PORJONTO PORJONTO PAKKA DIYE DEBO,LIKELY_PAY,Bengali,pt
"ektu somoy somoy dao, kaal diye debo",LIKELY_PAY,Bengali,so
"Acha uPI uPI pathao, ekhon e kori???",LIKELY_PAY,Bengali,sq
"Hey haaN jAni, kaal e kOrBo",LIKELY_PAY,Bengali,so
"Bhai salary nahi aayi abhi, 3 din mein mein pakka kar dunga",LIKELY_PAY,Hinglish,id
Kal se pehle kar dunga definitely,LIKELY_PAY,Hinglish,id
"Bro let me arrange, month end tak tak done",LIKELY_PAY,Hinglish,no
I will do NEFT kal mein,LIKELY_PAY,Hinglish,id
Salary aate hi immediately karunga,LIKELY_PAY,Hinglish,id
"Yaar 4 din aur de do, pakka payment",LIKELY_PAY,Hinglish,id
Transfer initiate kar diya hai already,LIKELY_PAY,Hinglish,id
Aaj evening ko payment kar deta hun,LIKELY_PAY,Hinglish,sv
"I promise bhai, 3 din mein tak",LIKELY_PAY,Hinglish,id
"UPI ID share karo, abhi bhejta hun",LIKELY_PAY,Hinglish,sw
"Let me check balance, kal mein done",LIKELY_PAY,Hinglish,nl
"Bhai mera bonus aaya hai, paying today",LIKELY_PAY,Hinglish,id
"Paisa arrange ho gaya, aaj transfer",LIKELY_PAY,Hinglish,tl
